E1111 02:34:00.719927  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.720468  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_LANE_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.723351  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PARKINGLOG_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.726329  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_CAMERA_INFO partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.727870  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_ENCODER_INFO_RELATED_EVENTS partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:00.735039  179064 kafka_exporter.go:425] Cannot get oldest offset of topic OMOF_PERSON_INFO_RELATED_EVENTS_LINKAGE partition 0: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.629932  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 1: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.636768  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 1: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.708239  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 4: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.715577  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 4: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.751510  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 7: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.758467  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 7: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.828319  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 10: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.836596  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 10: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.884756  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 13: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.888316  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 13: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.941774  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 16: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:04.953349  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 16: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.002331  179064 kafka_exporter.go:413] Cannot get current offset of topic __consumer_offsets partition 19: dial tcp 192.168.32.2:9094: connect: connection refused
E1111 02:34:05.010860  179064 kafka_exporter.go:425] Cannot get oldest offset of topic __consumer_offsets partition 19: dial tcp 192.168.32.2:9094: connect: connection refused
